SERIAL NO,AIRLINE ,AIRLINE IATA CODE,FLIGHT NO,FLIGHT TYPE,ROUTE,DEPARTURE COUNTRY,DEPARTURE CITY,DEPARTURE AIRPORT,DEPARTURE IATA CODE,ARRIVAL COUNTRY,ARRIVAL CITY,ARRIVAL AIRPORT,ARRIVAL IATA CODE,FLIGHT DURATION,
424,PAKISTAN INTERNATIONAL AIRLINE,PK,PK-221,INTERNATIONAL,MUX-DXB,PAKISTAN,MULTAN,MULTAN INTERNATIONAL AIRPORT,MUX,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,3 HOURS 10 MINUTES,
425,PAKISTAN INTERNATIONAL AIRLINE,PK,PK-222,INTERNATIONAL,DXB-MUX,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,PAKISTAN,MULTAN,MULTAN INTERNATIONAL AIRPORT,MUX,2 HOURS 40 MINUTES,
426,PAKISTAN INTERNATIONAL AIRLINE,PK,PK-293,INTERNATIONAL,MUX-SHJ,PAKISTAN,MULTAN,MULTAN INTERNATIONAL AIRPORT,MUX,UNITED ARAB EMIRATES,SHARJAH,SHARJAH INTERNATIONAL AIRPORT,SHJ,3 HOURS 10 MINUTES,
427,PAKISTAN INTERNATIONAL AIRLINE,PK,PK-294,INTERNATIONAL,SHJ-MUX,UNITED ARAB EMIRATES,SHARJAH,SHARJAH INTERNATIONAL AIRPORT,SHJ,PAKISTAN,MULTAN,MULTAN INTERNATIONAL AIRPORT,MUX,2 HOURS 40 MINUTES,
428,PAKISTAN INTERNATIONAL AIRLINE,PK,PK-171,INTERNATIONAL,MUX-MCT,PAKISTAN,MULTAN,MULTAN INTERNATIONAL AIRPORT,MUX,OMAN,MUSCAT,MUSCAT INTERNATIONAL AIRPORT,MCT,2 HOURS 35 MINUTES,
429,PAKISTAN INTERNATIONAL AIRLINE,PK,PK-172,INTERNATIONAL,MCT-MUX,OMAN,MUSCAT,MUSCAT INTERNATIONAL AIRPORT,MCT,PAKISTAN,MULTAN,MULTAN INTERNATIONAL AIRPORT,MUX,2 HOURS 15 MINUTES,
430,PAKISTAN INTERNATIONAL AIRLINE,PK,PK-739,INTERNATIONAL,MUX-JED,PAKISTAN,MULTAN,MULTAN INTERNATIONAL AIRPORT,MUX,SAUDI ARABIA,JEDDAH,KING ABDUL AZIZ INTERNATIONAL AIRPORT,JED,5 HOURS 55 MINUTES,
431,PAKISTAN INTERNATIONAL AIRLINE,PK,PK-740,INTERNATIONAL,JED-MUX,SAUDI ARABIA,JEDDAH,KING ABDUL AZIZ INTERNATIONAL AIRPORT,JED,PAKISTAN,MULTAN,MULTAN INTERNATIONAL AIRPORT,MUX,4 HOURS 50 MINUTES,
432,PAKISTAN INTERNATIONAL AIRLINE,PK,PK-715,INTERNATIONAL,MUX-MED,PAKISTAN,MULTAN,MULTAN INTERNATIONAL AIRPORT,MUX,SAUDI ARABIA,MEDINAH,PRINCE MUHAMMAD BIN ABDULAZIZ INTERNATIONAL AIRPORT,MED,5 HOURS 20 MINUTES,
433,PAKISTAN INTERNATIONAL AIRLINE,PK,PK-716,INTERNATIONAL,MED-MUX,SAUDI ARABIA,MEDINAH,PRINCE MUHAMMAD BIN ABDULAZIZ INTERNATIONAL AIRPORT,MED,PAKISTAN,MULTAN,MULTAN INTERNATIONAL AIRPORT,MUX,4 HOURS 20 MINUTES,
434,PAKISTAN INTERNATIONAL AIRLINE,PK,PK-149,INTERNATIONAL,MUX-DMM,PAKISTAN,MULTAN,MULTAN INTERNATIONAL AIRPORT,MUX,SAUDI ARABIA,DAMMAM,KING FAHAD INTERNATIONAL AIRPORT,DMM,4 HOURS,
435,PAKISTAN INTERNATIONAL AIRLINE,PK,PK-150,INTERNATIONAL,DMM-MUX,SAUDI ARABIA,DAMMAM,KING FAHAD INTERNATIONAL AIRPORT,DMM,PAKISTAN,MULTAN,MULTAN INTERNATIONAL AIRPORT,MUX,3 HOURS 20 MINUTES,
436,PAKISTAN INTERNATIONAL AIRLINE,PK,PK-169,INTERNATIONAL,MUX-ELQ,PAKISTAN,MULTAN,MULTAN INTERNATIONAL AIRPORT,MUX,SAUDI ARABIA,AL QASSIM,PRINCE NAIF BIN ABDULAZIZ INTERNATIONAL AIRPORT,ELQ,4 HOURS 50 MINUTES,
437,PAKISTAN INTERNATIONAL AIRLINE,PK,PK-170,INTERNATIONAL,ELQ-MUX,SAUDI ARABIA,AL QASSIM,PRINCE NAIF BIN ABDULAZIZ INTERNATIONAL AIRPORT,ELQ,PAKISTAN,MULTAN,MULTAN INTERNATIONAL AIRPORT,MUX,4 HOURS 15 MINUTES,
438,PAKISTAN INTERNATIONAL AIRLINE,PK,PK-209,INTERNATIONAL,SKT-SHJ,PAKISTAN,SIALKOT,SIALKOT INTERNATIONAL AIRPORT,SKT,UNITED ARAB EMIRATES,SHARJAH,SHARJAH INTERNATIONAL AIRPORT,SHJ,3 HOURS 55 MINUTES,
439,PAKISTAN INTERNATIONAL AIRLINE,PK,PK-210,INTERNATIONAL,SHJ-SKT,UNITED ARAB EMIRATES,SHARJAH,SHARJAH INTERNATIONAL AIRPORT,SHJ,PAKISTAN,SIALKOT,SIALKOT INTERNATIONAL AIRPORT,SKT,3 HOURS 5 MINUTES,
440,PAKISTAN INTERNATIONAL AIRLINE,PK,PK-179,INTERNATIONAL,SKT-DXB,PAKISTAN,SIALKOT,SIALKOT INTERNATIONAL AIRPORT,SKT,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,4 HOURS,
441,PAKISTAN INTERNATIONAL AIRLINE,PK,PK-180,INTERNATIONAL,DXB-SKT,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,PAKISTAN,SIALKOT,SIALKOT INTERNATIONAL AIRPORT,SKT,3 HOURS 5 MINUTES,
442,PAKISTAN INTERNATIONAL AIRLINE,PK,PK-177,INTERNATIONAL,SKT-AUH,PAKISTAN,SIALKOT,SIALKOT INTERNATIONAL AIRPORT,SKT,UNITED ARAB EMIRATES,ABU DHABI,ZAYED INTERNATIONAL AIRPORT,AUH,4 HOURS 5 MINUTES,
443,PAKISTAN INTERNATIONAL AIRLINE,PK,PK-178,INTERNATIONAL,AUH-SKT,UNITED ARAB EMIRATES,ABU DHABI,ZAYED INTERNATIONAL AIRPORT,AUH,PAKISTAN,SIALKOT,SIALKOT INTERNATIONAL AIRPORT,SKT,3 HOURS 15 MINUTES,
444,PAKISTAN INTERNATIONAL AIRLINE,PK,PK-745,INTERNATIONAL,SKT-JED,PAKISTAN,SIALKOT,SIALKOT INTERNATIONAL AIRPORT,SKT,SAUDI ARABIA,JEDDAH,KING ABDUL AZIZ INTERNATIONAL AIRPORT,JED,6 HOURS 40 MINUTES,
445,PAKISTAN INTERNATIONAL AIRLINE,PK,PK-746,INTERNATIONAL,JED-SKT,SAUDI ARABIA,SAUDI ARABIA,KING ABDUL AZIZ INTERNATIONAL AIRPORT,JED,PAKISTAN,SIALKOT,SIALKOT INTERNATIONAL AIRPORT,SKT,5 HOURS 15 MINUTES,
446,PAKISTAN INTERNATIONAL AIRLINE,PK,PK-755,INTERNATIONAL,SKT-RUH,PAKISTAN,SIALKOT,SIALKOT INTERNATIONAL AIRPORT,SKT,SAUDI ARABIA,RIYADH,KING KHALID INTERNATIONAL AIRPORT,RUH,5 HOURS  40 MINUTES,
