SERIAL NO,AIRLINE ,AIRLINE IATA CODE,FLIGHT NO,FLIGHT TYPE,ROUTE,DEPARTURE COUNTRY,DEPARTURE CITY,DEPARTURE AIRPORT,DEPARTURE IATA CODE,ARRIVAL COUNTRY,ARRIVAL CITY,ARRIVAL AIRPORT,ARRIVAL IATA CODE,FLIGHT DURATION,
494,AIR BLUE,PA,PA-274,INTERNATIONAL,ISB-RUH,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,SAUDI ARABIA,RIYADH,KING KHALID INTERNATIONAL AIRPORT,RUH,3 HOURS 19 MINUTES,
495,AIR BLUE,PA,PA-275,INTERNATIONAL,RUH-ISB,SAUDI ARABIA,RIYADH,KING KHALID INTERNATIONAL AIRPORT,RUH,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,6 HOURS 15 MINUTES,
496,AIR BLUE,PA,PA-278,INTERNATIONAL,ISB-DMM,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,SAUDI ARABIA,DAMMAM,KING FAHAD INTERNATIONAL AIRPORT,DMM,2 HOURS 35 MINUTES,
497,AIR BLUE,PA,PA-279,INTERNATIONAL,DMM-ISB,SAUDI ARABIA,DAMMAM,KING FAHAD INTERNATIONAL AIRPORT,DMM,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,5 HOURS 40 MINUTES,
498,AIR BLUE,PA,PA-210,INTERNATIONAL,ISB-DXB,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,3 HOURS 45 MINUTES,
499,AIR BLUE,PA,PA-216,INTERNATIONAL,ISB-DXB,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,3 HOURS 45 MINUTES,
500,AIR BLUE,PA,PA-211,INTERNATIONAL,DXB-ISB,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,3 HOURS 15 MINUTES,
501,AIR BLUE,PA,PA-217,INTERNATIONAL,DXB-ISB,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,3 HOURS 15 MINUTES,
502,AIR BLUE,PA,PA-212,INTERNATIONAL,ISB-SHJ,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,UNITED ARAB EMIRATES,SHARJAH,SHARJAH INTERNATIONAL AIRPORT,SHJ,2 HOURS 35 MINUTES,
503,AIR BLUE,PA,PA-213,INTERNATIONAL,SHJ-ISB,UNITED ARAB EMIRATES,SHARJAH,SHARJAH INTERNATIONAL AIRPORT,SHJ,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,4 HOURS 10 MINUTES,
504,AIR BLUE,PA,PA-230,INTERNATIONAL,ISB-AUH,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,UNITED ARAB EMIRATES,ABU DHABI,ZAYED INTERNATIONAL AIRPORT,AUH,3 HOURS 50 MINUTES,
505,AIR BLUE,PA,PA-231,INTERNATIONAL,AUH-ISB,UNITED ARAB EMIRATES,ABU DHABI,ZAYED INTERNATIONAL AIRPORT,AUH,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,3 HOURS 15 MINUTES,
506,AIR BLUE,PA,PA-470,INTERNATIONAL,LHE-JED,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,SAUDI ARABIA,JEDDAH,KING ABDUL AZIZ INTERNATIONAL AIRPORT,JED,6 HOURS 15 MINUTES,
507,AIR BLUE,PA,PA-471,INTERNATIONAL,JED-LHE,SAUDI ARABIA,JEDDAH,KING ABDUL AZIZ INTERNATIONAL AIRPORT,JED,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,5 HOURS 5 MINUTES,
508,AIR BLUE,PA,PA-474,INTERNATIONAL,LHE-RUH,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,SAUDI ARABIA,RIYADH,KING KHALID INTERNATIONAL AIRPORT,RUH,3 HOURS 15 MINUTES,
509,AIR BLUE,PA,PA-475,INTERNATIONAL,RUH-LHE,SAUDI ARABIA,RIYADH,KING KHALID INTERNATIONAL AIRPORT,RUH,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,6 HOURS 15 MINUTES,
510,AIR BLUE,PA,PA-478,INTERNATIONAL,LHE-DMM,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,SAUDI ARABIA,DAMMAM,KING FAHAD INTERNATIONAL AIRPORT,DMM,2 HOURS 35 MINUTES,
511,AIR BLUE,PA,PA-479,INTERNATIONAL,DMM-LHE,SAUDI ARABIA,DAMMAM,KING FAHAD INTERNATIONAL AIRPORT,DMM,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,5 HOURS 40 MINUTES,
512,AIR BLUE,PA,PA-410,INTERNATIONAL,LHE-DXB,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,3 HOURS 55 MINUTES,
513,AIR BLUE,PA,PA-411,INTERNATIONAL,DXB-LHE,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,3 HOURS 10 MINUTES,
514,AIR BLUE,PA,PA-412,INTERNATIONAL,LHE-SHJ,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,UNITED ARAB EMIRATES,SHARJAH,SHARJAH INTERNATIONAL AIRPORT,SHJ,2 HOURS 45 MINUTES,
515,AIR BLUE,PA,PA-413,INTERNATIONAL,SHJ-LHE,UNITED ARAB EMIRATES,SHARJAH,SHARJAH INTERNATIONAL AIRPORT,SHJ,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,4 HOURS 5 MINUTES,
516,AIR BLUE,PA,PA-430,INTERNATIONAL,LHE-AUH,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,UNITED ARAB EMIRATES,ABU DHABI,ZAYED INTERNATIONAL AIRPORT,AUH,3 HOURS 50 MINUTES,
517,AIR BLUE,PA,PA-431,INTERNATIONAL,AUH-LHE,UNITED ARAB EMIRATES,ABU DHABI,ZAYED INTERNATIONAL AIRPORT,AUH,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,3 HOURS 15 MINUTES,
518,AIR BLUE,PA,PA-170,INTERNATIONAL,KHI-JED,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,SAUDI ARABIA,JEDDAH,KING ABDUL AZIZ INTERNATIONAL AIRPORT,JED,4 HOURS 35 MINUTES,
519,AIR BLUE,PA,PA-171,INTERNATIONAL,JED-KHI,SAUDI ARABIA,JEDDAH,KING ABDUL AZIZ INTERNATIONAL AIRPORT,JED,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,4 HOURS 30 MINUTES,
520,AIR BLUE,PA,PA-110,INTERNATIONAL,KHI-DXB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,2 HOURS 25 MINUTES,
521,AIR BLUE,PA,PA-111,INTERNATIONAL,DXB-KHI,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,2 HOURS 20 MINUTES,
522,AIR BLUE,PA,PA-870,INTERNATIONAL,MUX-JED,PAKISTAN,MULTAN,MULTAN INTERNATIONAL AIRPORT,MUX,SAUDI ARABIA,JEDDAH,KING ABDUL AZIZ INTERNATIONAL AIRPORT,JED,5 HOURS 45 MINUTES,
523,AIR BLUE,PA,PA-872,INTERNATIONAL,MUX-JED,PAKISTAN,MULTAN,MULTAN INTERNATIONAL AIRPORT,MUX,SAUDI ARABIA,JEDDAH,KING ABDUL AZIZ INTERNATIONAL AIRPORT,JED,5 HOURS 45 MINUTES,
524,AIR BLUE,PA,PA-871,INTERNATIONAL,JED-MUX,SAUDI ARABIA,JEDDAH,KING ABDUL AZIZ INTERNATIONAL AIRPORT,JED,PAKISTAN,MULTAN,MULTAN INTERNATIONAL AIRPORT,MUX,5 HOURS 15 MINUTES,
525,AIR BLUE,PA,PA-873,INTERNATIONAL,JED-MUX,SAUDI ARABIA,JEDDAH,KING ABDUL AZIZ INTERNATIONAL AIRPORT,JED,PAKISTAN,MULTAN,MULTAN INTERNATIONAL AIRPORT,MUX,5 HOURS 15 MINUTES,
526,AIR BLUE,PA,PA-810,INTERNATIONAL,MUX-DXB,PAKISTAN,MULTAN,MULTAN INTERNATIONAL AIRPORT,MUX,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,3 HOURS 25 MINUTES,
527,AIR BLUE,PA,PA-811,INTERNATIONAL,DXB-MUX,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,PAKISTAN,MULTAN,MULTAN INTERNATIONAL AIRPORT,MUX,2 HOURS 55 MINUTES,
528,AIR BLUE,PA,PA-812,INTERNATIONAL,MUX-SHJ,PAKISTAN,MULTAN,MULTAN INTERNATIONAL AIRPORT,MUX,UNITED ARAB EMIRATES,SHARJAH,SHARJAH INTERNATIONAL AIRPORT,SHJ,2 HOURS 20 MINUTES,
529,AIR BLUE,PA,PA-813,INTERNATIONAL,SHJ-MUX,UNITED ARAB EMIRATES,SHARJAH,SHARJAH INTERNATIONAL AIRPORT,SHJ,PAKISTAN,MULTAN,MULTAN INTERNATIONAL AIRPORT,MUX,3 HOURS 45 MINUTES,
530,AIR BLUE,PA,PA-876,INTERNATIONAL,MUX-MED,PAKISTAN,MULTAN,MULTAN INTERNATIONAL AIRPORT,MUX,SAUDI ARABIA,MEDINAH,PRINCE MUHAMMAD BIN ABDULAZIZ INTERNATIONAL AIRPORT,MED,4 HOURS 30 MINUTES,
531,AIR BLUE,PA,PA-877,INTERNATIONAL,MED-MUX,SAUDI ARABIA,MEDINAH,PRINCE MUHAMMAD BIN ABDULAZIZ INTERNATIONAL AIRPORT,MED,PAKISTAN,MULTAN,MULTAN INTERNATIONAL AIRPORT,MUX,4 HOURS 45 MINUTES,
532,AIR BLUE,PA,PA-468,INTERNATIONAL,LHE-GYD,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,AZERBAIJAN,BAKU,HEYDER ALIYEV INTERNATIONAL AIRPORT,GYD,4 HOURS,
533,AIR BLUE,PA,PA-49,INTERNATIONAL,GYD-LHE,AZERBAIJAN,BAKU,HEYDER ALIYEV INTERNATIONAL AIRPORT,GYD,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,3 HOURS 40 MINUTES,
534,TURKISH AIRLINES,TK,TK-711,INTERNATIONAL,ISB-IST,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,TURKEY,ISTANBUL,IGA ISTANBUL AIRPORT,IST,6 HOURS 15 MINUTES,
535,TURKISH AIRLINES,TK,TK-751,INTERNATIONAL,ISB-IST,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,TURKEY,ISTANBUL,IGA ISTANBUL AIRPORT,IST,6 HOURS 15 MINUTES,
536,TURKISH AIRLINES,TK,TK-710,INTERNATIONAL,IST-ISB,TURKEY,ISTANBUL,IGA ISTANBUL AIRPORT,IST,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,5 HOURS 20 MINUTES,
537,TURKISH AIRLINES,TK,TK-750,INTERNATIONAL,IST-ISB,TURKEY,ISTANBUL,IGA ISTANBUL AIRPORT,IST,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,5 HOURS 20 MINUTES,
538,TURKISH AIRLINES,TK,TK-714,INTERNATIONAL,LHE-IST,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,TURKEY,ISTANBUL,IGA ISTANBUL AIRPORT,IST,5 HOURS 25 MINUTES,
539,TURKISH AIRLINES,TK,TK-744,INTERNATIONAL,LHE-IST,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,TURKEY,ISTANBUL,IGA ISTANBUL AIRPORT,IST,5 HOURS 25 MINUTES,
540,TURKISH AIRLINES,TK,TK-715,INTERNATIONAL,IST-LHE,TURKEY,ISTANBUL,IGA ISTANBUL AIRPORT,IST,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,6 HOURS 30 MINUTES,
541,TURKISH AIRLINES,TK,TK-745,INTERNATIONAL,IST-LHE,TURKEY,ISTANBUL,IGA ISTANBUL AIRPORT,IST,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,6 HOURS 30 MINUTES,
542,TURKISH AIRLINES,TK,TK-709,INTERNATIONAL,KHI-IST,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,TURKEY,ISTANBUL,IGA ISTANBUL AIRPORT,IST,6 HOURS 25 MINUTES,
543,TURKISH AIRLINES,TK,TK-719,INTERNATIONAL,KHI-IST,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,TURKEY,ISTANBUL,IGA ISTANBUL AIRPORT,IST,6 HOURS 25 MINUTES,
544,TURKISH AIRLINES,TK,TK-718,INTERNATIONAL,IST-KHI,TURKEY,ISTANBUL,IGA ISTANBUL AIRPORT,IST,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,5 HOURS 25 MINUTES,
545,TURKISH AIRLINES,TK,TK-708,INTERNATIONAL,IST-KHI,TURKEY,ISTANBUL,IGA ISTANBUL AIRPORT,IST,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,5 HOURS 25 MINUTES,
546,PEGAASUS AIRLINES,PC,PC-131,INTERNATIONAL,KHI-SAW,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,TURKEY,ISTANBUL,SABIHA GOKCEN INTERNATIONAL AIRPORT,SAW,6 HOURS 20 MINUTES,
547,PEGAASUS AIRLINES,PC,PC-130,INTERNATIONAL,SAW-KHI,TURKEY,ISTANBUL,SABIHA GOKCEN INTERNATIONAL AIRPORT,SAW,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,5 HOURS 15 MINUTES,
548,KAM AIR,RQ,RQ-928,INTERNATIONAL,ISB-KBL,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,AFGHANISTAN,KABUL,KABUL INTERNATIONAL AIRPORT,KBL,1 HOURS,
549,KAM AIR,RQ,RQ-927,INTERNATIONAL,KBL-ISB,AFGHANISTAN,KABUL,KABUL INTERNATIONAL AIRPORT,KBL,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,1 HOURS 10 MINUTES,
550,ARIANA AFGHAN AIRLINES,FG,FG-308,INTERNATIONAL,ISB-KBL,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,AFGHANISTAN,KABUL,KABUL INTERNATIONAL AIRPORT,KBL,1 HOURS,
551,ARIANA AFGHAN AIRLINES,FG,FG-307,INTERNATIONAL,KBL-ISB,AFGHANISTAN,KABUL,KABUL INTERNATIONAL AIRPORT,KBL,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,1 HOURS,
552,THAI AIRWAYS,TG,TG-350,INTERNATIONAL,ISB-BKK,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,THAILAND ,BANGKOK,BANGKOK INTERNATIONAL AIRPORT,BKK,4 HOURS 45 MINUTES,
553,THAI AIRWAYS,TG,TK-349,INTERNATIONAL,BKK-ISB,THAILAND ,BANGKOK,BANGKOK INTERNATIONAL AIRPORT,BKK,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,5 HOURS 35 MINUTES,
554,THAI AIRWAYS,TG,TG-346,INTERNATIONAL,LHE-BKK,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,THAILAND ,BANGKOK,BANGKOK INTERNATIONAL AIRPORT,BKK,4 HOURS 25 MINUTES,
555,THAI AIRWAYS,TG,TG-345,INTERNATIONAL,BKK-LHE,THAILAND ,BANGKOK,BANGKOK INTERNATIONAL AIRPORT,BKK,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,5 HOURS 15 MINUTES,
556,THAI AIRWAYS,TG,TG-341,INTERNATIONAL,KHI-BKK,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,THAILAND ,BANGKOK,BANGKOK INTERNATIONAL AIRPORT,BKK,5 HOURS 35 MINUTES,
557,THAI AIRWAYS,TG,TG-342,INTERNATIONAL,BKK-KHI,THAILAND ,BANGKOK,BANGKOK INTERNATIONAL AIRPORT,BKK,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,4 HOURS 35 MINUTES,
558,MALINDO AIR,OD,OD-132,INTERNATIONAL,LHE-KUL,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,MALAYSIA,KUALA LUMPUR,KUALA LUMPUR INTERNATIONAL AIRPORT,KUL,5 HOURS 45 MINUTES,
559,MALINDO AIR,OD,OD-131,INTERNATIONAL,KUL-LHE,MALAYSIA,KUALA LUMPUR,KUALA LUMPUR INTERNATIONAL AIRPORT,KUL,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,6 HOURS 10 MINUTES,
560,MALINDO AIR,OD,OD-136,INTERNATIONAL,KHI-KUL,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,MALAYSIA,KUALA LUMPUR,KUALA LUMPUR INTERNATIONAL AIRPORT,KUL,6 HOURS 15 MINUTES,
561,MALINDO AIR,OD,OD-135,INTERNATIONAL,KUL-KHI,MALAYSIA,KUALA LUMPUR,KUALA LUMPUR INTERNATIONAL AIRPORT,KUL,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,6 HOURS 10 MINUTES,
562,MAHAN AIR,W5,W5-1194,INTERNATIONAL,LHE-IKA,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,IRAN,TEHRAN,IMAM KHOMEINI AIRPORT,IKA,4 HOURS,
563,MAHAN AIR,W5,W5-1195,INTERNATIONAL,IKA-LHE,IRAN,TEHRAN,IMAM KHOMEINI AIRPORT,IKA,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,4 HOURS,
564,IRAQI AIRWAYS,IA,IA-432,INTERNATIONAL,KHI-BGW,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,IRAQ,BAGHDAD,BAGHDAD INTERNATIONAL AIRPORT,BGW,4 HOURS,
565,IRAQI AIRWAYS,IA,IA-431,INTERNATIONAL,BGW-KHI,IRAQ,BAGHDAD,BAGHDAD INTERNATIONAL AIRPORT,BGW,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,4 HOURS,
566,AIR CHINA ,CA,CA-944,INTERNATIONAL,ISB-PEK,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,CHINA ,BEIJING,BEIJING CAPITAL INTERNATIONAL AIRPORT,PEK,5 HOURS 30 MINUTES,
567,AIR CHINA ,CA,CA-943,INTERNATIONAL,PEK-ISB,CHINA,BEIJING,BEIJING CAPITAL INTERNATIONAL AIRPORT,PEK,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,6 HOURS 50 MINUTES,
568,AIR CHINA ,CA,CA-946,INTERNATIONAL,KHI-PEK,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,CHINA ,BEIJING,BEIJING CAPITAL INTERNATIONAL AIRPORT,PEK,6 HOURS 45 MINUTES,
569,AIR CHINA ,CA,CA-645,INTERNATIONAL,PEK-KHI,CHINA,BEIJING,BEIJING CAPITAL INTERNATIONAL AIRPORT,PEK,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,6 HOURS 45 MINUTES,
570,CHINA SOUTHERN AIRLINES,CZ,CZ-8070,INTERNATIONAL,ISB-CAN,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,CHINA ,GHANGZHOU,GHANGZHOU BAIYUN INTERNATIONAL AIRPORT,CAN,5 HOURS 10 MINUTES,
571,CHINA SOUTHERN AIRLINES,CZ,CZ-8069,INTERNATIONAL,CAN-ISB,CHINA,GHANGZHOU,GHANGZHOU BAIYUN INTERNATIONAL AIRPORT,CAN,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,6 HOURS 55 MINUTES,
572,CHINA SOUTHERN AIRLINES,CZ,CZ-6038,INTERNATIONAL,LHE-CAN,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,CHINA ,GHANGZHOU,GHANGZHOU BAIYUN INTERNATIONAL AIRPORT,CAN,5 HOURS 30 MINUTES,
573,CHINA SOUTHERN AIRLINES,CZ,CZ-6037,INTERNATIONAL,CAN-LHE,CHINA,GHANGZHOU,GHANGZHOU BAIYUN INTERNATIONAL AIRPORT,CAN,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,6 HOURS 5 MINUTES,
574,UZBEKISTAN AIRWAYS,HY,HY-466,INTERNATIONAL,ISB-TAS,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,UZBEKISTAN,TASHKENT ,TASHKENT INTERNATIONAL AIRPORT,TAS,2 HOURS,
575,UZBEKISTAN AIRWAYS,HY,HY-465,INTERNATIONAL,TAS-ISB,UZBEKISTAN,TASHKENT,TASHKENT INTERNATIONAL AIRPORT,TAS,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,2 HOURS,
576,UZBEKISTAN AIRWAYS,HY,HY-462,INTERNATIONAL,LHE-TAS,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,UZBEKISTAN,TASHKENT ,TASHKENT INTERNATIONAL AIRPORT,TAS,2 HOURS 25 MINUTES,
577,UZBEKISTAN AIRWAYS,HY,HY-461,INTERNATIONAL,TAS-LHE,UZBEKISTAN,TASHKENT,TASHKENT INTERNATIONAL AIRPORT,TAS,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,2 HOURS 20 MINUTES,
578,ETHIOPIAN AIRLINES,ET,ET-695,INTERNATIONAL,KHI-ADD,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,ETHIOPIA,ADDIS ABABA,ADDIS ABABA BOLE INTERNATIONAL AIRPORT,ADD,5 HOURS 30 MINUTES,
579,ETHIOPIAN AIRLINES,ET,ET-694,INTERNATIONAL,ADD-KHI,ETHIOPIA,ADDIS ADEBA,ADDIS ABABA BOLE INTERNATIONAL AIRPORT,ADD,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,5 HOURS 25 MINUTES,
580,AZERBAIJAN AIRLINES,J2,J2-144,INTERNATIONAL,ISB-GYD,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,AZERBAIJAN,BAKU,HEYDER ALIYEV INTERNATIONAL AIRPORT,GYD,3 HOURS 40 MINUTES,
581,AZERBAIJAN AIRLINES,J2,J2-143,INTERNATIONAL,GYD-ISB,AFGHANISTAN,BAKU,HEYDER ALIYEV INTERNATIONAL AIRPORT,GYD,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,3 HOURS 5 MINUTES,
582,AZERBAIJAN AIRLINES,J2,J2-146,INTERNATIONAL,LHE-GYD,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,AZERBAIJAN,BAKU,HEYDER ALIYEV INTERNATIONAL AIRPORT,GYD,3 HOURS 45 MINUTES,
583,AZERBAIJAN AIRLINES,J2,J2-145,INTERNATIONAL,GYD-LHE,AZERBAIJAN,BAKU,HEYDER ALIYEV INTERNATIONAL AIRPORT,GYD,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,3 HOURS 45 MINUTES,
584,SRILANKAN AIRLINES,UL,UL-186,INTERNATIONAL,LHE-CMB,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,SRILANKA,COLOMBO,COLOMBO BANDARANAIKE INTERNATIONAL AIRPORT,CMB,3 HOURS 50 MINUTES,
585,SRILANKAN AIRLINES,UL,UL-185,INTERNATIONAL,CMB-LHE,SRILANKA ,COLOMBO,COLOMBO BANDARANAIKE INTERNATIONAL AIRPORT,CMB,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,3 HOURS 50 MINUTES,
586,SRILANKAN AIRLINES,UL,UL-152,INTERNATIONAL,KHI-CMB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,SRILANKA,COLOMBO,COLOMBO BANDARANAIKE INTERNATIONAL AIRPORT,CMB,3 HOURS 25 MINUTES,
587,SRILANKAN AIRLINES,UL,UL-151,INTERNATIONAL,CMB-KHI,SRILANKA ,COLOMBO,COLOMBO BANDARANAIKE INTERNATIONAL AIRPORT,CMB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,3 HOURS 25 MINUTES,
588,BIMAN AIR,BG,BG-342,INTERNATIONAL,KHI-DAC,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,BANGLADESH,DHAKA,HAZRAT SHAHJALAL INTERNATIONAL AIRPORT,DAC,3  HOURS 19 MINUTES,
589,BIMAN AIR,BG,BG-341,INTERNATIONAL,DAC-KHI,BANGLADESH,DHAKA,HAZRAT SHAHJALAL INTERNATIONAL AIRPORT,DAC,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,4 HOURS,
590,AERO NOMAD,KA,KA-586,INTERNATIONAL,ISB-BSZ,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,KYRGYZSTAN,BISHKEK,MANAS INTERNATIONAL AIRPORT,BSZ,2 HOURS 10 MINUTES,
